Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Units,[Location],[Reporting Type],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""51""","""Armenia""","""PERCENT""","""URBAN""","""G""",98.72487,98.80153,98.87822,98.95493,99.03166,99.10842,99.18521,99.26202,99.33885,99.41571,99.4926,99.56951,99.64645,99.72341,99.79201,99.81558,99.83915,99.86273
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""533""","""Aruba""","""PERCENT""","""ALLAREA""","""G""",94.48881,94.77049,95.05218,95.33386,95.61555,95.89723,96.17891,96.4606,96.74228,97.02397,97.30565,97.58734,97.86902,97.86902,97.86902,97.86902,97.86902,
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""142""","""Asia""","""PERCENT""","""RURAL""","""G""",73.45981,73.84617,74.83801,75.74391,76.65497,77.56672,78.48084,79.40344,80.33088,81.25126,82.17442,83.10698,84.04373,84.98347,85.94195,86.86739,87.75388,88.65915
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""142""","""Asia""","""PERCENT""","""URBAN""","""G""",95.2776,95.33653,95.46456,95.59119,95.71665,95.83785,95.95632,96.07765,96.19628,96.31162,96.4256,96.53609,96.64529,96.75418,96.86937,96.97941,97.0798,97.18102
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""142""","""Asia""","""PERCENT""","""ALLAREA""","""G""",81.6465,82.05299,82.86733,83.61673,84.3578,85.08619,85.79996,86.50672,87.20369,87.88324,88.55194,89.20485,89.84631,90.47846,91.11286,91.71722,92.28618,92.85467
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""36""","""Australia""","""PERCENT""","""ALLAREA""","""G""",99.71229,99.71124,99.7122,99.73435,99.75634,99.77815,99.79978,99.82125,99.84255,99.86367,99.88462,99.9054,99.926,99.94645,99.96148,99.97,99.96997,99.96994
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""36""","""Australia""","""PERCENT""","""RURAL""","""G""",99.05667,99.05667,99.05667,99.13833,99.22,99.30167,99.38333,99.465,99.54667,99.62833,99.71,99.79167,99.87333,99.955,100,100,100,100
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""36""","""Australia""","""PERCENT""","""URBAN""","""G""",99.835,99.835,99.835,99.845,99.855,99.865,99.875,99.885,99.895,99.905,99.915,99.925,99.935,99.945,99.955,99.965,99.965,99.965
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""53""","""Australia and New Zealand""","""PERCENT""","""ALLAREA""","""G""",99.76073,99.75993,99.76086,99.7794,99.79771,99.81579,99.83363,99.8513,99.86884,99.88629,99.90365,99.92094,99.93811,99.95519,99.96775,99.97488,99.97483,99.97479
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""53""","""Australia and New Zealand""","""PERCENT""","""RURAL""","""G""",99.20021,99.19873,99.19954,99.26959,99.33933,99.4087,99.47778,99.54733,99.61668,99.68595,99.75518,99.82432,99.89316,99.96204,100,100,100,100
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""53""","""Australia and New Zealand""","""PERCENT""","""URBAN""","""G""",99.86326,99.86337,99.86343,99.87177,99.88006,99.8883,99.89648,99.90462,99.91276,99.92094,99.92916,99.93742,99.94572,99.95404,99.96238,99.97072,99.9707,99.97068
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""40""","""Austria""","""PERCENT""","""ALLAREA""","""G""",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""40""","""Austria""","""PERCENT""","""RURAL""","""G""",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""40""","""Austria""","""PERCENT""","""URBAN""","""G""",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""31""","""Azerbaijan""","""PERCENT""","""ALLAREA""","""G""",73.3805,74.81775,76.2676,77.73053,79.206,80.69355,82.19331,83.70536,85.22897,85.91744,86.606,87.29395,87.98087,88.66653,89.35028,90.03169,90.71032,91.38574
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""31""","""Azerbaijan""","""PERCENT""","""RURAL""","""G""",54.93393,56.86086,58.8209,60.81404,62.84028,64.89962,66.99207,69.11762,71.27627,72.42014,73.56401,74.70789,75.85176,76.99563,78.13951,79.28338,80.42725,81.57113
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""31""","""Azerbaijan""","""PERCENT""","""URBAN""","""G""",90.83197,91.66981,92.51024,93.35325,94.19885,95.04704,95.8978,96.75115,97.60709,97.79578,97.98447,98.17315,98.36184,98.55053,98.73922,98.92791,99.11659,99.30528
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""44""","""Bahamas""","""PERCENT""","""ALLAREA""","""G""",98.2455,98.28826,98.33102,98.37379,98.41655,98.45932,98.50208,98.54485,98.58761,98.63037,98.67314,98.7159,98.75867,98.80143,98.8442,98.88696,98.88696,98.88696
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""48""","""Bahrain""","""PERCENT""","""ALLAREA""","""G""",99.89794,99.90804,99.91813,99.92822,99.93832,99.94841,99.9585,99.9686,99.97869,99.98879,99.99888,100,100,100,100,100,100,100
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""50""","""Bangladesh""","""PERCENT""","""ALLAREA""","""G""",95.21504,95.38698,95.5634,95.73788,95.91029,96.00988,96.10641,96.19977,96.28985,96.37656,96.45987,96.53966,96.61577,96.68811,96.75671,96.82151,96.88253,97.01601
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""50""","""Bangladesh""","""PERCENT""","""RURAL""","""G""",94.15292,94.3469,94.54088,94.73486,94.92883,95.06603,95.203,95.33974,95.47625,95.61252,95.74856,95.88438,96.01996,96.1553,96.29042,96.42531,96.55996,96.75255
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""50""","""Bangladesh""","""PERCENT""","""URBAN""","""G""",98.65534,98.66331,98.67127,98.67924,98.68721,98.58666,98.48608,98.3855,98.28489,98.18427,98.08363,97.98297,97.88229,97.7816,97.68089,97.58016,97.47941,97.48727
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""52""","""Barbados""","""PERCENT""","""ALLAREA""","""G""",98.32442,98.33442,98.34443,98.35443,98.36443,98.37443,98.38443,98.39443,98.40443,98.41444,98.42444,98.43444,98.44444,98.45444,98.46444,98.47444,98.48445,98.49445
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""112""","""Belarus""","""PERCENT""","""ALLAREA""","""G""",99.29858,99.3015,99.30439,99.30724,99.08635,98.83467,98.58054,98.32397,98.065,97.80369,97.53931,97.27204,97.00216,96.72971,96.45479,96.46444,96.47418,96.48397
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""112""","""Belarus""","""PERCENT""","""RURAL""","""G""",98.87837,98.87837,98.87837,98.87837,98.908,98.83869,98.76931,98.69988,98.63039,98.56084,98.49123,98.42157,98.35184,98.28205,98.21221,98.24153,98.27086,98.30019
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""112""","""Belarus""","""PERCENT""","""URBAN""","""G""",99.47891,99.47891,99.47891,99.47891,99.15609,98.83314,98.51006,98.18685,97.86351,97.54004,97.21643,96.8927,96.56883,96.24484,95.92071,95.93904,95.95737,95.9757
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""56""","""Belgium""","""PERCENT""","""ALLAREA""","""G""",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""56""","""Belgium""","""PERCENT""","""RURAL""","""G""",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""56""","""Belgium""","""PERCENT""","""URBAN""","""G""",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""84""","""Belize""","""PERCENT""","""ALLAREA""","""G""",87.43149,88.08196,88.7325,89.38311,90.0338,90.68455,91.33538,91.98628,92.63725,93.28829,93.93748,94.5876,95.23856,95.89018,96.5423,97.1756,97.58454,97.99258
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""84""","""Belize""","""PERCENT""","""RURAL""","""G""",84.26453,85.01118,85.75784,86.50449,87.25115,87.9978,88.74445,89.49111,90.23776,90.98442,91.76142,92.53891,93.3169,94.09539,94.87436,95.65383,96.4338,97.21426
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""84""","""Belize""","""PERCENT""","""URBAN""","""G""",91.24052,91.77784,92.31516,92.85248,93.3898,93.92712,94.46444,95.00176,95.53908,96.0764,96.57273,97.06861,97.56403,98.05899,98.5535,99.00529,98.96318,98.92107
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""204""","""Benin""","""PERCENT""","""ALLAREA""","""G""",61.4597,61.78023,62.11044,62.45986,62.80177,63.13576,63.46212,63.78112,64.09259,64.39618,64.69237,64.98122,65.26279,65.53676,65.8045,66.06565,66.32024,66.41473
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""204""","""Benin""","""PERCENT""","""RURAL""","""G""",52.03753,52.46617,52.88915,53.30647,53.71812,54.12412,54.52445,54.91912,55.30813,55.69148,56.06916,56.44119,56.80755,57.16826,57.5233,57.87268,58.2164,58.2164
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""204""","""Benin""","""PERCENT""","""URBAN""","""G""",76.61732,76.56462,76.51169,76.45852,76.40513,76.35149,76.29763,76.24353,76.1892,76.13464,76.07984,76.02481,75.96955,75.91406,75.85833,75.80237,75.74618,75.74618
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""60""","""Bermuda""","""PERCENT""","""ALLAREA""","""G""",99.99414,99.98656,99.97898,99.97139,99.96381,99.95623,99.94864,99.94106,99.93347,99.92589,99.91831,99.91072,99.90314,99.90314,99.90314,99.90314,99.90314,99.90314
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""60""","""Bermuda""","""PERCENT""","""URBAN""","""G""",99.99414,99.98656,99.97898,99.97139,99.96381,99.95623,99.94864,99.94106,99.93347,99.92589,99.91831,99.91072,99.90314,99.90314,99.90314,99.90314,99.90314,99.90314
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""64""","""Bhutan""","""PERCENT""","""ALLAREA""","""G""",82.73643,83.94121,85.03077,86.09742,87.14063,88.15419,89.09871,90.02511,90.93325,91.8227,92.69354,93.54563,94.3781,95.19118,95.98522,96.8125,97.20763,97.23338
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""64""","""Bhutan""","""PERCENT""","""RURAL""","""G""",78.30089,79.67268,80.87419,82.06994,83.25993,84.44415,85.62261,86.7953,87.96223,89.12339,90.27879,91.42843,92.5723,93.71041,94.84275,96.12806,96.73119,96.73119
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""64""","""Bhutan""","""PERCENT""","""URBAN""","""G""",95.75127,95.79252,95.95062,96.10883,96.26714,96.42555,96.58406,96.74267,96.90138,97.06019,97.21911,97.37812,97.53723,97.69645,97.85576,97.89766,97.93955,97.98145
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""68""","""Bolivia (Plurinational State of)""","""PERCENT""","""ALLAREA""","""G""",79.47904,80.39052,81.27538,82.14623,83.00705,83.85716,84.69763,85.52747,86.3477,87.15479,87.91365,88.6619,89.39959,90.11291,90.80893,91.49683,92.1769,92.84874
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""68""","""Bolivia (Plurinational State of)""","""PERCENT""","""RURAL""","""G""",54.221,55.65392,57.09161,58.53408,59.98132,61.43334,62.89014,64.35172,65.81808,67.28163,68.63637,69.99111,71.34585,72.70059,74.05533,75.41006,76.7648,78.11954
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""68""","""Bolivia (Plurinational State of)""","""PERCENT""","""URBAN""","""G""",95.10022,95.35572,95.61122,95.86672,96.12223,96.37774,96.63324,96.88875,97.14427,97.39978,97.6553,97.91047,98.16563,98.4208,98.67597,98.93114,99.18631,99.44148
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""535""","""Bonaire, Sint Eustatius and Saba""","""PERCENT""","""ALLAREA""","""G""",99.34863,99.34863,99.34863,99.34863,99.34863,99.34863,,,,,,,,,,,,
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""70""","""Bosnia and Herzegovina""","""PERCENT""","""ALLAREA""","""G""",97.2697,97.22156,97.17081,97.11741,97.0614,97.00271,96.94138,96.8774,96.81075,96.74145,96.66949,96.59487,96.45003,96.352,96.16813,96.15984,96.15126,96.14236
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""70""","""Bosnia and Herzegovina""","""PERCENT""","""RURAL""","""G""",96.25556,96.35999,96.46407,96.56778,96.67113,96.77412,96.87676,96.97903,97.08093,97.18248,97.28367,97.3845,97.35945,97.425,97.33333,97.33333,97.33333,97.33333
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""70""","""Bosnia and Herzegovina""","""PERCENT""","""URBAN""","""G""",98.64831,98.3778,98.10712,97.83626,97.56524,97.29405,97.02269,96.75116,96.47946,96.20759,95.93555,95.66334,95.39097,95.11842,94.8457,94.8457,94.8457,94.8457
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""72""","""Botswana""","""PERCENT""","""ALLAREA""","""G""",75.19897,75.54352,75.75011,75.9352,76.11861,76.29915,77.40119,78.88605,80.32352,81.71012,83.04817,84.33697,85.42283,86.45559,87.46342,88.44628,89.40444,90.33771
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""72""","""Botswana""","""PERCENT""","""RURAL""","""G""",53.57892,53.68024,53.78156,53.88288,53.9842,54.08552,55.83843,57.59751,59.36277,61.13421,62.91182,64.69561,66.48558,68.28172,70.08404,71.89253,73.70721,75.52805
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""72""","""Botswana""","""PERCENT""","""URBAN""","""G""",94.20359,94.12136,94.03912,93.95689,93.87465,93.79242,94.07028,94.34751,94.62411,94.90008,95.17541,95.45011,95.72418,95.99762,96.27043,96.5426,96.81415,97.08506
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""76""","""Brazil""","""PERCENT""","""ALLAREA""","""G""",93.65429,93.95516,94.24262,94.52402,94.79925,95.06841,95.33182,95.58958,95.84179,96.08819,96.32926,96.56647,96.79839,97.02485,97.24637,97.60592,97.84799,98.19339
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""76""","""Brazil""","""PERCENT""","""RURAL""","""G""",74.07692,74.93878,75.80065,76.66251,77.52437,78.38623,79.24809,80.10995,80.97181,81.83367,82.69553,83.55739,84.41926,85.28112,86.14298,87.00484,87.8667,89.73861
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""76""","""Brazil""","""PERCENT""","""URBAN""","""G""",98.18935,98.25659,98.32382,98.39105,98.45829,98.52552,98.59275,98.65999,98.72722,98.79445,98.86169,98.92892,98.99615,99.06339,99.13062,99.36473,99.46718,99.53455
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""92""","""British Virgin Islands""","""PERCENT""","""ALLAREA""","""G""",95.30274,95.68288,96.06301,96.44315,96.82329,97.20342,97.58356,97.9637,98.34384,98.72397,99.10411,99.48425,99.86438,99.86438,99.86438,99.86438,99.86438,99.86438
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""96""","""Brunei Darussalam""","""PERCENT""","""ALLAREA""","""G""",99.90001,99.90001,99.90001,99.90001,99.90001,99.90001,99.90001,99.90001,99.90001,99.90001,99.90001,99.90001,99.90001,99.90001,99.90001,99.90001,99.90001,99.90001
